word_1	word_2	biword	frequency
ITER	look[2sbj.imp]	ITER|look[2sbj.imp]	1
look[2sbj.imp]	FUT	look[2sbj.imp]|FUT	1
INCH	UNK	INCH|UNK	3
PST	blow.down	PST|blow.down	4
3OBJ[3SBJ].	3NEG	3OBJ[3SBJ].|3NEG	1
ITER	behind	ITER|behind	1
PST	through.air	PST|through.air	2
3OBJ[3SBJ].	PROG	3OBJ[3SBJ].|PROG	2
PST	die[3sbj].	PST|die[3sbj].	3
PROG	come	PROG|come	5
INCH	dig.clams	INCH|dig.clams	1
3NEG	PFV	3NEG|PFV	2
PFV	know	PFV|know	1
EMP	around	EMP|around	5
then	know	then|know	3
3SBJ.IMPL	PROG	3SBJ.IMPL|PROG	7
PROG	3POSS	PROG|3POSS	3
3SBJ.DEF	PFV	3SBJ.DEF|PFV	3
PFV	be.two	PFV|be.two	1
always	PROG	always|PROG	3
PROG	be.two	PROG|be.two	9
PROG	PROG	PROG|PROG	8
PROG	do	PROG|do	3
PROG	3NEG	PROG|3NEG	5
3NEG	be.good	3NEG|be.good	1
dwell[3sbj]	PROG	dwell[3sbj]|PROG	1
PROG	cook	PROG|cook	1
PROG	very	PROG|very	20
very	be.much	very|be.much	1
INCH	go.in	INCH|go.in	1
INCH	think.about	INCH|think.about	8
PST	darken	PST|darken	4
1NEG	NEG.EMPH	1NEG|NEG.EMPH	1
NEG.EMPH	go.to.sleep	NEG.EMPH|go.to.sleep	1
be.midnight	same.way	be.midnight|same.way	1
same.way	go[3sbj]	same.way|go[3sbj]	1
3SBJ.IMPL.	INCH	3SBJ.IMPL.|INCH	4
INCH	cook<nmlz.p>.	INCH|cook<nmlz.p>.	1
PST	move	PST|move	1
PST	CESS	PST|CESS	9
CESS	eat	CESS|eat	16
ITER	out	ITER|out	21
PROG	lie.down	PROG|lie.down	4
3SBJ.STV.	PST	3SBJ.STV.|PST	13
PST	be.light[nmlz]	PST|be.light[nmlz]	8
3SBJ.INDF.	PST	3SBJ.INDF.|PST	18
3SBJ.DEF	1NEG	3SBJ.DEF|1NEG	8
1NEG	EMP	1NEG|EMP	7
be.one	INCH	be.one|INCH	1
INCH	have.sense	INCH|have.sense	1
be.nice	PROG	be.nice|PROG	1
PL	stand.up	PL|stand.up	1
very	be.many	very|be.many	2
be.nice	INCH	be.nice|INCH	2
INCH	arrange	INCH|arrange	1
INCH	move	INCH|move	4
3NEG	be.much	3NEG|be.much	4
be.much	go.to	be.much|go.to	1
go.to	move	go.to|move	1
3POSS.	PST	3POSS.|PST	15
PST	recognize	PST|recognize	2
relating.to	last.night	relating.to|last.night	1
DEM	PFV	DEM|PFV	1
PFV	come.in	PFV|come.in	1
3SBJ.DEF.	NEG.EMPH	3SBJ.DEF.|NEG.EMPH	3
NEG.EMPH	3NEG	NEG.EMPH|3NEG	3
3NEG	talk.to	3NEG|talk.to	1
PROG	relating.to	PROG|relating.to	7
relating.to	3NEG	relating.to|3NEG	1
3NEG	say	3NEG|say	3
PROG	say	PROG|say	3
be.good	FUT	be.good|FUT	1
FUT	treat	FUT|treat	2
house.	3NEG	house.|3NEG	1
3NEG	be.while	3NEG|be.while	2
NMLZ.INF	INCH	NMLZ.INF|INCH	2
INCH	wind.blow	INCH|wind.blow	1
already	INCH	already|INCH	20
INCH	PST	INCH|PST	3
PST	be.strong.	PST|be.strong.	1
house	PST	house|PST	1
INCH	blow.down	INCH|blow.down	1
all	blow.down	all|blow.down	1
PST	be.one	PST|be.one	3
PST	go.ashore	PST|go.ashore	4
at.last	be.long.time	at.last|be.long.time	2
EMPH	leave.pass	EMPH|leave.pass	1
2SBJ.SBJV?	PST	2SBJ.SBJV?|PST	2
no.longer	stay[1sbj]	no.longer|stay[1sbj]	5
AFF.	3NEG	AFF.|3NEG	2
3NEG	be.content[1sbj].	3NEG|be.content[1sbj].	1
be.content[1sbj].	PST	be.content[1sbj].|PST	1
suddenly	ITER	suddenly|ITER	5
ITER	say	ITER|say	2
1NEG	be.content	1NEG|be.content	1
coyote	PST	coyote|PST	13
day.before	no.longer	day.before|no.longer	1
EMP	INCH	EMP|INCH	6
INCH	up	INCH|up	1
REFL[3SBJ]	INCH	REFL[3SBJ]|INCH	1
INCH	paint.body	INCH|paint.body	1
PROG	CESS	PROG|CESS	9
CESS	paint.body	CESS|paint.body	1
3SBJ.DEF.	all	3SBJ.DEF.|all	4
all	go[3sbj].	all|go[3sbj].	1
3NEG	be.so[3sbj]	3NEG|be.so[3sbj]	5
